geoid,geoid20,year,denom_total_hh,denom_youth_hh,avg_hh_size,youth_singleparenthh_count,youth_singleparenthh_pct,families_children_count,families_children_pct,living_alone_count,living_alone_pct,same_sex_count,same_sex_pct,opp_sex_count,opp_sex_pct
1400000US06037119001,6037119001,2021,1036,796,4.3499999,192,24.120604,357,35.27668,385.57199,38.099998,0,0,662,63.899612
1400000US06037119003,6037119003,2021,896,977,4.71,11,1.1258956,283,32.906979,356.04001,41.400002,0,0,652,72.76786
1400000US06037119004,6037119004,2021,825,866,4.48,243,28.060045,202,26.613966,302.841,39.900002,0,0,440,53.333332
1400000US06037119201,6037119201,2021,881,923,5.0799999,121,13.109426,209,24.617197,324.31799,38.200001,8,.908059,543,61.634506
1400000US06037119202,6037119202,2021,1133,1057,4.3000002,270,25.543993,300,26.478376,472.461,41.700001,44,3.8834951,593,52.338924
1400000US06037119310,6037119310,2021,1267,701,3.01,71,10.128388,385,30.973452,334.367,26.9,0,0,628,49.565903
1400000US06037119320,6037119320,2021,1270,1104,3.6199999,262,23.731884,560,44.09449,275.59,21.700001,0,0,644,50.70866
1400000US06037119340,6037119340,2021,1084,1420,3.9200001,377,26.549295,505,49.076775,65.856003,6.4000001,0,0,598,55.16605
1400000US06037119341,6037119341,2021,865,447,3.1199999,92,20.581656,235,27.421236,335.944,39.200001,5,.5780347,458,52.947975
1400000US06037119342,6037119342,2021,812,735,3.71,174,23.67347,290,37.0844,128.248,16.4,0,0,413,50.862068
1400000US06037119400,6037119400,2021,1156,1248,4.5999999,263,21.073717,457,39.843067,369.33401,32.200001,21,1.816609,724,62.629757
1400000US06037119700,6037119700,2021,1360,938,3.6500001,192,20.469084,317,24.365873,420.22299,32.299999,0,0,849,62.426472
1400000US06037119801,6037119801,2021,635,656,4.21,189,28.810976,181,29.288027,250.28999,40.5,7,1.1023622,362,57.007874
1400000US06037119802,6037119802,2021,837,750,4.0700002,183,24.4,307,37.901234,272.97,33.700001,5,.59737158,565,67.502983
1400000US06037119900,6037119900,2021,1308,955,3.8099999,162,16.96335,335,26.587301,430.92001,34.200001,0,0,806,61.620796
1400000US06037120010,6037120010,2021,761,641,3.4400001,140,21.840874,270,35.479633,131.653,17.299999,0,0,434,57.030224
1400000US06037120020,6037120020,2021,1269,871,3.1400001,300,34.443169,398,31.687899,332.84,26.5,0,0,636,50.118202
1400000US06037120030,6037120030,2021,739,656,3.49,248,37.804878,266,37.891739,160.758,22.9,0,0,332,44.925575
1400000US06037120103,6037120103,2021,858,1082,3.6099999,361,33.36414,427,50.413223,116.886,13.8,0,0,376,43.822845
1400000US06037120104,6037120104,2021,817,511,2.9100001,161,31.506849,232,29.219143,201.67599,25.4,0,0,289,35.373318
1400000US06037120105,6037120105,2021,878,581,3.1099999,222,38.209984,255,29.964746,287.638,33.799999,0,0,360,41.002277
1400000US06037120106,6037120106,2021,1381,1191,3.3099999,412,34.592781,579,43.930199,379.58398,28.799999,0,0,503,36.422882
1400000US06037120107,6037120107,2021,1126,1486,3.78,455,30.619112,552,49.462364,178.56,16,8,.71047956,567,50.35524
1400000US06037120108,6037120108,2021,1453,1020,3.23,359,35.196079,397,28.377413,485.453,34.700001,0,0,529,36.407433
1400000US06037120300,6037120300,2021,1512,1090,3.5,156,14.311927,393,27.598314,424.35199,29.799999,0,0,886,58.597885
1400000US06037120400,6037120400,2021,2099,1270,2.8800001,296,23.307087,608,28.966175,635.99701,30.299999,0,0,978,46.593616
1400000US06037121010,6037121010,2021,1279,1033,4.1599998,71,6.8731847,432,34.340221,455.396,36.200001,14,1.0946052,824,64.425331
1400000US06037121020,6037121020,2021,1145,771,3.4300001,83,10.76524,353,33.459717,236.31999,22.4,0,0,659,57.554585
1400000US06037121101,6037121101,2021,1017,505,3.25,49,9.7029705,274,28.872498,164.17699,17.299999,13,1.2782694,617,60.668633
1400000US06037121102,6037121102,2021,810,468,2.99,85,18.162394,200,26.490067,262.73999,34.799999,0,0,387,47.777779
1400000US06037121210,6037121210,2021,845,584,3.8,109,18.664383,167,21.382843,399.87201,51.200001,0,0,448,53.01775
1400000US06037121221,6037121221,2021,534,408,4.5,47,11.519608,105,20.309477,209.90199,40.599998,4,.74906367,328,61.423222
1400000US06037121222,6037121222,2021,1276,1025,3.8900001,77,7.5121951,360,29.197081,191.11501,15.5,0,0,637,49.921631
1400000US06037121600,6037121600,2021,864,517,3.24,129,24.951645,196,23.416965,293.78699,35.099998,10,1.1574074,377,43.634258
1400000US06037121801,6037121801,2021,1291,835,3.02,226,27.065868,351,31.39535,207.948,18.6,0,0,568,43.996902
1400000US06037121802,6037121802,2021,785,656,3.8,127,19.359756,210,29.661016,213.81601,30.200001,0,0,413,52.611465
1400000US06037121900,6037121900,2021,1197,827,3.5,358,43.288998,333,33.002972,382.41101,37.900002,0,0,509,42.522976
1400000US06037122000,6037122000,2021,1602,976,3.1099999,265,27.15164,370,23.477158,740.71997,47,0,0,732,45.692883
1400000US06037122120,6037122120,2021,1204,1335,4.4899998,292,21.87266,452,38.143459,439.63498,37.099998,0,0,713,59.219269
1400000US06037122121,6037122121,2021,805,710,3.6400001,79,11.12676,214,27.756161,214.338,27.799999,0,0,474,58.881989
1400000US06037122122,6037122122,2021,665,806,4,326,40.446651,183,28.683386,165.88,26,0,0,348,52.330826
1400000US06037122200,6037122200,2021,943,873,4.25,263,30.126001,346,40.232559,226.17999,26.299999,0,0,598,63.414635
1400000US06037122410,6037122410,2021,1191,780,2.98,309,39.615383,311,26.535835,303.548,25.9,0,0,433,36.356003
1400000US06037122420,6037122420,2021,1359,1176,3.78,413,35.119049,474,35.373135,242.54001,18.1,8,.58866817,555,40.838852
1400000US06037123010,6037123010,2021,1051,1116,4.0900002,320,28.673836,395,39.303482,270.345,26.9,0,0,559,53.187439
1400000US06037123020,6037123020,2021,780,408,3.7,165,40.441177,253,33.598938,243.21899,32.299999,0,0,435,55.76923
1400000US06037123103,6037123103,2021,1692,755,2.47,174,23.046358,373,23.038914,315.70499,19.5,9,.53191489,486,28.723404
1400000US06037123104,6037123104,2021,1781,938,2.79,182,19.402985,368,23.276407,251.379,15.9,45,2.5266705,853,47.89444
1400000US06037123203,6037123203,2021,1051,683,3.1500001,158,23.133236,299,30.479103,229.554,23.4,36,3.4253092,424,40.342529
1400000US06037123204,6037123204,2021,1120,495,3.23,179,36.161617,184,18.110237,143.256,14.1,16,1.4285715,367,32.767857
1400000US06037123205,6037123205,2021,799,683,3.6199999,304,44.509518,268,35.078533,115.36401,15.1,9,1.126408,391,48.936169
1400000US06037123206,6037123206,2021,867,442,2.8900001,119,26.923077,191,24.116161,228.09599,28.799999,0,0,319,36.793541
1400000US06037123301,6037123301,2021,1731,622,2.6500001,114,18.327974,274,16.861538,458.25,28.200001,0,0,717,41.421143
